 ,Label,Area,Mean,StdDev,Min,Max,Perim.,Circ.,AR,Round,Solidity
1,,38.579,132.334,13.443,94.000,170.000,25.478,0.747,1.703,0.587,0.969
2,,51.318,139.045,12.176,103.000,173.000,27.765,0.837,1.269,0.788,0.964
3,,42.040,139.416,8.423,115.000,162.000,25.718,0.799,1.295,0.772,0.960
4,,69.119,141.690,10.516,110.000,171.000,33.600,0.769,1.693,0.591,0.939
5,,64.644,149.135,10.937,115.000,177.000,30.645,0.865,1.608,0.622,0.964
6,,61.228,146.660,7.578,115.000,173.000,30.995,0.801,1.122,0.891,0.977
7,,48.725,138.062,7.181,117.000,162.000,26.014,0.905,1.107,0.904,0.980
8,,47.226,134.437,7.614,110.000,167.000,25.814,0.891,1.214,0.824,0.976
9,,52.727,145.731,10.336,114.000,175.000,28.254,0.830,1.390,0.720,0.959
10,,44.982,137.826,8.851,105.000,163.000,25.924,0.841,1.356,0.737,0.964
11,,38.939,131.228,9.649,105.000,159.000,24.122,0.841,1.373,0.729,0.955
12,,39.221,128.620,8.627,102.000,154.000,24.001,0.856,1.095,0.914,0.977
13,,48.691,131.120,10.564,101.000,176.000,30.243,0.669,1.118,0.894,0.953
